
=================================================================
  P(ganar envido | mejor envido del equipo == Y)  —  n = 1,000,000
  Supuesto: empate pierde el pie  |  semilla = 42
=================================================================
     Y     Manos    P(ganar)           IC 95%                  SE
  -------------------------------------------------------------
     3        54        0.0%  [0.0% , 0.0%]     0.00%
     4       151        0.0%  [0.0% , 0.0%]     0.00%
     5       465        0.0%  [0.0% , 0.0%]     0.00%
     6     2,563        0.0%  [0.0% , 0.0%]     0.00%
     7     8,810        0.2%  [0.1% , 0.3%]     0.05%
    20     3,907        0.8%  [0.6% , 1.1%]     0.15%
    21     4,918        0.9%  [0.6% , 1.1%]     0.13%
    22     5,750        1.0%  [0.7% , 1.2%]     0.13%
    23     9,628        1.5%  [1.2% , 1.7%]     0.12%
    24    12,604        1.8%  [1.6% , 2.0%]     0.12%
    25    18,365        2.6%  [2.4% , 2.9%]     0.12%
    26    23,249        3.6%  [3.3% , 3.8%]     0.12%
    27    49,599        6.2%  [6.0% , 6.4%]     0.11%
    28    44,380       10.9%  [10.6% , 11.2%]     0.15%
    29    60,977       15.5%  [15.2% , 15.7%]     0.15%
    30    77,690       22.4%  [22.1% , 22.7%]     0.15%
    31    88,617       30.5%  [30.2% , 30.8%]     0.15%
    32    91,601       40.7%  [40.4% , 41.1%]     0.16%
    33   136,631       51.3%  [51.0% , 51.6%]     0.14% ← 50%
    34   141,588       66.0%  [65.7% , 66.2%]     0.13%
    35    97,289       82.7%  [82.4% , 82.9%]     0.12%
    36    78,238       93.1%  [93.0% , 93.3%]     0.09%
    37    42,922      100.0%  [100.0% , 100.0%]     0.00%
=================================================================
