
=================================================================
  P(ganar envido | mejor envido del equipo == Y)  —  n = 500,000
  Supuesto: empate pierde el pie  |  semilla = 42
=================================================================
     Y     Manos    P(ganar)           IC 95%                  SE
  -------------------------------------------------------------
     4        74        0.0%  [0.0% , 0.0%]     0.00%
     5       222        0.0%  [0.0% , 0.0%]     0.00%
     6     1,297        0.0%  [0.0% , 0.0%]     0.00%
     7     4,454        0.2%  [0.1% , 0.3%]     0.07%
    20     1,972        0.7%  [0.3% , 1.1%]     0.19%
    21     2,404        1.2%  [0.7% , 1.6%]     0.22%
    22     2,831        0.8%  [0.5% , 1.1%]     0.17%
    23     4,772        1.6%  [1.2% , 1.9%]     0.18%
    24     6,415        1.6%  [1.3% , 1.9%]     0.16%
    25     9,166        2.7%  [2.4% , 3.1%]     0.17%
    26    11,510        3.6%  [3.2% , 3.9%]     0.17%
    27    24,791        6.1%  [5.8% , 6.4%]     0.15%
    28    22,165       10.9%  [10.5% , 11.3%]     0.21%
    29    30,559       15.4%  [15.0% , 15.8%]     0.21%
    30    38,936       22.2%  [21.8% , 22.6%]     0.21%
    31    44,544       30.5%  [30.1% , 31.0%]     0.22%
    32    45,884       41.0%  [40.6% , 41.5%]     0.23%
    33    68,267       51.3%  [51.0% , 51.7%]     0.19% ← 50%
    34    70,558       66.0%  [65.7% , 66.4%]     0.18%
    35    48,523       82.6%  [82.3% , 82.9%]     0.17%
    36    39,221       93.0%  [92.7% , 93.2%]     0.13%
    37    21,407      100.0%  [100.0% , 100.0%]     0.00%
=================================================================
